n,k,m,BruteForce,WIT,WIT+Bucket,SAIT
0,1766,3194,6103,337210

5000000,5,0.001,438553,30,1101,19
5000000,10,0.001,440444,59,1109,26
5000000,15,0.001,442622,78,1111,28
5000000,20,0.001,442470,96,1121,32
5000000,25,0.001,442076,114,1115,36
5000000,30,0.001,442545,127,1119,39
5000000,35,0.001,442384,146,1122,44
5000000,40,0.001,442459,160,1120,47
5000000,45,0.001,442549,177,1124,51

5000000,5,0.001,443687,36,1109,20
5000000,5,0.005,441854,45,1109,20
5000000,5,0.01,442830,43,1111,20
5000000,5,0.05,441236,29,1109,17
5000000,5,0.1,442121,29,1109,17

13,25,46,2072
50000,5,0.01,4397,15,21,12
72,134,246,12841
250000,5,0.01,22015,18,65,13
153,262,497,27496
500000,5,0.01,44227,19,117,14
848,1484,2816,160069
2500000,5,0.01,220476,29,552,17
